IMG_ID,CLUSTER_ID_0,CLUSTER_ID_1,CLUSTER_ID_2,CLUSTER_ID_3,CLUSTER_ID_4,CLUSTER_ID_5,CLUSTER_ID_6,CLUSTER_ID_7,CLUSTER_ID_8,CLUSTER_ID_9,CLUSTER_ID_10,CLUSTER_ID_11,CLUSTER_ID_12,CLUSTER_ID_13,CLUSTER_ID_14,CLUSTER_ID_15,CLUSTER_ID_16,CLUSTER_ID_17,CLUSTER_ID_18,CLUSTER_ID_19,CLUSTER_ID_20,CLUSTER_ID_21,CLUSTER_ID_22,CLUSTER_ID_23,CLUSTER_ID_24,CLUSTER_ID_25,CLUSTER_ID_26,CLUSTER_ID_27,CLUSTER_ID_28,CLUSTER_ID_29,CLUSTER_ID_30,CLUSTER_ID_31,CLUSTER_ID_32,CLUSTER_ID_33,CLUSTER_ID_34,CLUSTER_ID_35,CLUSTER_ID_36,CLUSTER_ID_37,CLUSTER_ID_38,CLUSTER_ID_39,CLUSTER_ID_40,CLUSTER_ID_41,CLUSTER_ID_42,CLUSTER_ID_43,CLUSTER_ID_44,CLUSTER_ID_45,CLUSTER_ID_46,CLUSTER_ID_47,CLUSTER_ID_48,CLUSTER_ID_49
1159,3.0,9.0,9.0,10.0,13.0,4.0,1.0,17.0,11.0,13.0,10.0,11.0,9.0,9.0,25.0,6.0,7.0,16.0,5.0,9.0,7.0,7.0,4.0,10.0,7.0,8.0,5.0,3.0,4.0,10.0,4.0,5.0,8.0,14.0,4.0,7.0,7.0,3.0,6.0,6.0,6.0,8.0,5.0,3.0,3.0,3.0,6.0,6.0,2.0,2.0
1160,20.0,20.0,11.0,13.0,17.0,10.0,16.0,14.0,34.0,17.0,15.0,16.0,25.0,15.0,24.0,33.0,12.0,28.0,14.0,21.0,21.0,14.0,11.0,23.0,17.0,23.0,17.0,15.0,16.0,16.0,8.0,6.0,24.0,26.0,11.0,19.0,15.0,11.0,21.0,9.0,15.0,14.0,23.0,13.0,14.0,14.0,8.0,18.0,16.0,26.0
1161,13.0,9.0,5.0,9.0,15.0,2.0,5.0,9.0,9.0,8.0,13.0,10.0,18.0,9.0,11.0,10.0,12.0,12.0,5.0,14.0,12.0,6.0,6.0,13.0,5.0,3.0,7.0,7.0,17.0,13.0,11.0,9.0,13.0,10.0,2.0,18.0,13.0,13.0,13.0,12.0,4.0,12.0,8.0,4.0,9.0,11.0,10.0,10.0,6.0,5.0
1162,17.0,22.0,8.0,20.0,22.0,21.0,44.0,28.0,18.0,23.0,18.0,10.0,25.0,24.0,27.0,37.0,33.0,19.0,29.0,41.0,16.0,33.0,28.0,32.0,23.0,32.0,21.0,20.0,30.0,13.0,17.0,35.0,22.0,28.0,20.0,27.0,20.0,30.0,31.0,14.0,24.0,21.0,20.0,28.0,24.0,14.0,25.0,19.0,17.0,13.0
1163,5.0,6.0,5.0,6.0,8.0,2.0,6.0,5.0,22.0,6.0,10.0,6.0,3.0,9.0,2.0,13.0,6.0,21.0,2.0,5.0,20.0,2.0,8.0,6.0,2.0,6.0,8.0,10.0,7.0,12.0,7.0,4.0,15.0,5.0,2.0,23.0,5.0,3.0,7.0,14.0,5.0,8.0,3.0,3.0,17.0,16.0,17.0,8.0,20.0,11.0
1164,16.0,25.0,18.0,9.0,19.0,41.0,39.0,14.0,23.0,21.0,14.0,21.0,30.0,22.0,42.0,24.0,45.0,20.0,34.0,13.0,15.0,24.0,13.0,16.0,38.0,31.0,13.0,13.0,17.0,10.0,34.0,42.0,7.0,25.0,32.0,7.0,19.0,32.0,17.0,20.0,31.0,12.0,19.0,26.0,14.0,6.0,18.0,16.0,9.0,7.0
1165,7.0,4.0,4.0,8.0,4.0,3.0,12.0,17.0,15.0,5.0,5.0,5.0,11.0,9.0,2.0,7.0,5.0,11.0,7.0,6.0,7.0,2.0,10.0,16.0,2.0,6.0,10.0,9.0,13.0,6.0,2.0,3.0,11.0,5.0,5.0,16.0,7.0,7.0,8.0,7.0,7.0,6.0,7.0,5.0,8.0,10.0,17.0,3.0,4.0,7.0
1166,9.0,22.0,12.0,5.0,16.0,14.0,26.0,20.0,24.0,8.0,4.0,14.0,18.0,9.0,23.0,18.0,26.0,6.0,23.0,17.0,17.0,23.0,23.0,15.0,27.0,22.0,14.0,7.0,11.0,18.0,19.0,28.0,8.0,26.0,15.0,17.0,14.0,26.0,26.0,10.0,15.0,7.0,17.0,29.0,13.0,3.0,48.0,9.0,0.0,7.0
1167,32.0,66.0,39.0,33.0,53.0,145.0,66.0,52.0,27.0,65.0,38.0,72.0,84.0,54.0,36.0,20.0,109.0,27.0,118.0,46.0,13.0,95.0,114.0,60.0,116.0,55.0,68.0,37.0,42.0,24.0,130.0,129.0,19.0,91.0,89.0,35.0,51.0,50.0,62.0,19.0,59.0,42.0,45.0,93.0,30.0,32.0,33.0,61.0,12.0,20.0
1168,5.0,9.0,5.0,3.0,2.0,3.0,1.0,6.0,7.0,4.0,6.0,3.0,4.0,9.0,2.0,5.0,1.0,8.0,3.0,0.0,6.0,2.0,0.0,2.0,0.0,6.0,4.0,5.0,10.0,5.0,1.0,4.0,3.0,3.0,3.0,5.0,4.0,7.0,3.0,7.0,2.0,6.0,5.0,2.0,7.0,9.0,1.0,3.0,7.0,3.0
1169,4.0,5.0,1.0,1.0,1.0,0.0,0.0,3.0,7.0,0.0,3.0,1.0,3.0,5.0,0.0,3.0,1.0,5.0,1.0,0.0,9.0,2.0,1.0,3.0,2.0,2.0,5.0,1.0,2.0,4.0,2.0,0.0,2.0,3.0,1.0,4.0,2.0,1.0,2.0,3.0,1.0,7.0,5.0,3.0,3.0,4.0,2.0,1.0,0.0,3.0
1170,5.0,14.0,6.0,3.0,6.0,9.0,6.0,2.0,6.0,5.0,10.0,20.0,4.0,7.0,4.0,1.0,4.0,11.0,10.0,12.0,7.0,4.0,17.0,19.0,9.0,9.0,8.0,18.0,9.0,12.0,11.0,6.0,5.0,4.0,4.0,5.0,9.0,7.0,9.0,13.0,2.0,10.0,11.0,12.0,9.0,21.0,1.0,27.0,17.0,26.0
1171,7.0,6.0,2.0,3.0,6.0,2.0,0.0,0.0,13.0,0.0,7.0,2.0,1.0,2.0,0.0,1.0,0.0,20.0,0.0,9.0,4.0,2.0,4.0,9.0,1.0,4.0,4.0,3.0,10.0,13.0,2.0,1.0,0.0,0.0,2.0,3.0,2.0,0.0,3.0,5.0,0.0,10.0,5.0,2.0,7.0,6.0,3.0,6.0,12.0,13.0
1172,6.0,16.0,13.0,16.0,12.0,9.0,10.0,1.0,39.0,25.0,10.0,29.0,15.0,6.0,23.0,5.0,11.0,26.0,12.0,25.0,13.0,3.0,16.0,20.0,12.0,10.0,23.0,10.0,8.0,15.0,24.0,7.0,9.0,6.0,3.0,19.0,19.0,8.0,13.0,12.0,9.0,13.0,7.0,13.0,13.0,22.0,3.0,32.0,35.0,18.0
1173,0.0,2.0,3.0,2.0,2.0,0.0,0.0,3.0,9.0,2.0,4.0,4.0,3.0,3.0,0.0,7.0,0.0,12.0,3.0,3.0,9.0,1.0,6.0,5.0,0.0,0.0,1.0,8.0,3.0,7.0,0.0,1.0,6.0,3.0,1.0,11.0,4.0,0.0,5.0,10.0,2.0,4.0,3.0,9.0,4.0,13.0,5.0,5.0,3.0,6.0
1174,3.0,6.0,4.0,9.0,11.0,1.0,7.0,4.0,8.0,2.0,13.0,3.0,7.0,9.0,6.0,5.0,4.0,5.0,8.0,2.0,11.0,6.0,4.0,5.0,3.0,5.0,6.0,12.0,9.0,9.0,6.0,9.0,9.0,9.0,6.0,14.0,7.0,5.0,8.0,6.0,1.0,2.0,5.0,3.0,12.0,14.0,7.0,6.0,5.0,3.0
1175,4.0,4.0,1.0,1.0,2.0,1.0,2.0,7.0,23.0,3.0,8.0,1.0,2.0,3.0,4.0,7.0,1.0,43.0,1.0,2.0,4.0,0.0,7.0,5.0,3.0,4.0,2.0,10.0,6.0,3.0,1.0,0.0,14.0,5.0,1.0,3.0,2.0,0.0,3.0,13.0,3.0,2.0,3.0,4.0,7.0,6.0,4.0,9.0,16.0,41.0
1176,17.0,14.0,4.0,9.0,8.0,7.0,6.0,11.0,15.0,3.0,10.0,9.0,2.0,16.0,3.0,13.0,8.0,21.0,9.0,6.0,8.0,2.0,8.0,6.0,8.0,15.0,14.0,13.0,17.0,8.0,20.0,11.0,7.0,7.0,4.0,9.0,6.0,9.0,14.0,24.0,6.0,10.0,17.0,5.0,21.0,47.0,4.0,11.0,11.0,3.0
1177,17.0,9.0,6.0,14.0,26.0,4.0,13.0,9.0,19.0,8.0,39.0,8.0,21.0,11.0,16.0,28.0,12.0,17.0,8.0,12.0,16.0,19.0,6.0,16.0,11.0,14.0,9.0,15.0,21.0,13.0,9.0,14.0,26.0,18.0,10.0,17.0,6.0,11.0,13.0,17.0,13.0,18.0,10.0,8.0,16.0,15.0,15.0,10.0,13.0,19.0
